"filename","alarm_name","analysis_result","alarm_time","device_code","category","alarm_id"
"alarm_69964e0d4c93489e8ff2be5305cb1ee1.png","烟雾检测报警事件","误报(自然雾气)","2025-12-01 09:38:16","001e67b2f0411310030522","历史告警归档","1"
"alarm_69964e0d4c93489e8ff2be5305cb1ee1.png","火点检测报警事件","误报(光线反射)","2025-12-01 11:38:16","001e67b2f0411310030522","历史告警归档","3"
"alarm_69964e0d4c93489e8ff2be5305cb1ee1.png","烟雾检测报警事件","误报(自然雾气)","2025-12-02 10:38:16","001e67b2f0411310030522","历史告警归档","6"
"alarm_69964e0d4c93489e8ff2be5305cb1ee1.png","火点检测报警事件","误报(光线反射)","2025-12-03 03:38:16","001e67b2f0411310030522","历史告警归档","8"
"alarm_69964e0d4c93489e8ff2be5305cb1ee1.png","火点检测报警事件","误报(光线反射)","2025-12-04 06:38:16","001e67b2f0411310030522","历史告警归档","13"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","火点检测报警事件","火点检测报警","2025-12-01 10:38:16","001e67b2f0411310030522","历史告警归档","2"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","火点检测报警事件","火点检测报警","2025-12-02 13:38:16","001e67b2f0411310030522","历史告警归档","7"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","烟火检测报警事件","误报(农田焚烧)","2025-12-03 12:38:16","001e67b2f0411310030522","历史告警归档","9"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","烟火检测报警事件","误报(农田焚烧)","2025-12-03 17:32:08","001e67b2f0411310030522","历史告警归档","10"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","火点检测报警事件","火点检测报警","2025-12-03 22:38:16","001e67b2f0411310030522","历史告警归档","12"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","烟火检测报警事件","误报(农田焚烧)","2025-12-04 12:38:16","001e67b2f0411310030522","历史告警归档","14"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","火点检测报警事件","火点检测报警","2025-12-06 10:38:16","001e67b2f0411310030522","历史告警归档","17"
"alarm_902695ab1b1349c29c33b474d5a2b252.png","烟火检测报警事件","误报(农田焚烧)","2025-12-17 07:32:08","001e67b2f0411310030522","历史告警归档","20"
